level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1780	662	-1.0	
2	1	1	0	0	0	18	14	1670	609	-1.0	
3	1	1	1	0	0	18	14	1670	609	-1.0	
4	1	1	1	1	0	19	14	1668	31	-1.0	
5	1	1	1	1	1	19	14	43	24	96.375626	93.
5	1	1	1	1	2	76	15	25	23	96.887665	A
5	1	1	1	1	3	112	22	90	23	96.700165	survey
5	1	1	1	1	4	212	22	52	16	96.181152	was
5	1	1	1	1	5	277	14	138	24	96.180077	conducted
5	1	1	1	1	6	427	14	28	24	96.180077	of
5	1	1	1	1	7	467	15	47	23	96.841866	130
5	1	1	1	1	8	526	14	143	31	96.701141	purchasers
5	1	1	1	1	9	682	14	28	24	96.779915	of
5	1	1	1	1	10	720	22	57	16	96.633301	new
5	1	1	1	1	11	787	14	73	24	96.60582	black
5	1	1	1	1	12	872	18	79	27	96.59964	sports
5	1	1	1	1	13	964	22	60	21	96.696846	cars,
5	1	1	1	1	14	1039	15	47	23	96.92112	130
5	1	1	1	1	15	1098	14	143	31	96.596909	purchasers
5	1	1	1	1	16	1254	14	28	24	96.716537	of
5	1	1	1	1	17	1292	22	57	16	96.816795	new
5	1	1	1	1	18	1359	14	43	24	96.451889	red
5	1	1	1	1	19	1414	18	79	27	96.741013	sports
5	1	1	1	1	20	1505	22	61	21	96.45063	cars,
5	1	1	1	1	21	1579	14	48	24	96.797867	and
5	1	1	1	1	22	1641	15	46	23	96.965111	130
4	1	1	1	2	0	18	55	1670	31	-1.0	
5	1	1	1	2	1	18	55	143	31	96.229004	purchasers
5	1	1	1	2	2	171	55	28	24	96.98999	of
5	1	1	1	2	3	206	63	57	16	96.827934	new
5	1	1	1	2	4	270	55	74	24	96.989746	white
5	1	1	1	2	5	353	59	79	27	96.92968	sports
5	1	1	1	2	6	442	63	59	17	96.56337	cars.
5	1	1	1	2	7	512	56	28	23	96.919792	In
5	1	1	1	2	8	547	56	26	28	96.242851	it,
5	1	1	1	2	9	582	55	89	31	96.242851	people
5	1	1	1	2	10	679	63	65	16	96.839294	were
5	1	1	1	2	11	754	55	76	24	96.709389	asked
5	1	1	1	2	12	837	55	41	24	96.719841	the
5	1	1	1	2	13	887	61	45	25	96.446991	age
5	1	1	1	2	14	941	55	58	31	96.446991	they
5	1	1	1	2	15	1006	63	65	16	96.626183	were
5	1	1	1	2	16	1080	55	73	24	96.788803	when
5	1	1	1	2	17	1161	55	58	31	96.673424	they
5	1	1	1	2	18	1226	55	138	31	96.562248	purchased
5	1	1	1	2	19	1371	55	62	24	96.900131	their
5	1	1	1	2	20	1442	63	44	17	96.818459	car.
5	1	1	1	2	21	1496	55	52	24	97.020332	The
5	1	1	1	2	22	1557	55	131	31	96.335373	following
4	1	1	1	3	0	18	96	385	31	-1.0	
5	1	1	1	3	1	18	96	50	24	96.97155	box
5	1	1	1	3	2	77	96	65	31	97.004822	plots
5	1	1	1	3	3	152	96	97	31	96.664482	display
5	1	1	1	3	4	258	96	40	24	96.859261	the
5	1	1	1	3	5	308	96	95	25	96.781288	results:
4	1	1	1	4	0	443	183	192	24	-1.0	
5	1	1	1	4	1	443	183	64	19	96.846687	Black
5	1	1	1	4	2	514	186	68	21	96.930504	sports
5	1	1	1	4	3	590	189	45	13	96.083107	cars
4	1	1	1	5	0	447	307	173	24	-1.0	
5	1	1	1	5	1	447	307	44	19	96.342003	Red
5	1	1	1	5	2	499	311	67	20	96.43396	sports
5	1	1	1	5	3	574	313	46	13	96.129189	cars
4	1	1	1	6	0	322	566	1063	25	-1.0	
5	1	1	1	6	1	318	562	41	41	43.204617	二
5	1	1	1	6	2	359	562	36	41	61.442219	二
5	1	1	1	6	3	394	566	465	25	71.646835	一
5	1	1	1	6	4	858	562	460	41	52.165405	一
5	1	1	1	6	5	1317	562	42	41	60.44677	一
5	1	1	1	6	6	1358	562	32	41	56.078854	一
4	1	1	1	7	0	356	603	997	20	-1.0	
5	1	1	1	7	1	356	603	29	20	91.997864	25
5	1	1	1	7	2	443	603	29	20	91.707138	30
5	1	1	1	7	3	531	603	29	20	94.988007	35
5	1	1	1	7	4	618	603	30	20	96.543983	40
5	1	1	1	7	5	707	603	29	20	96.415436	45
5	1	1	1	7	6	795	603	29	20	95.30304	50
5	1	1	1	7	7	884	603	28	20	96.934746	55
5	1	1	1	7	8	972	603	28	20	96.981064	60
5	1	1	1	7	9	1060	603	29	20	96.360672	65
5	1	1	1	7	10	1148	603	29	20	96.57225	70
5	1	1	1	7	11	1236	603	29	20	91.573463	75
5	1	1	1	7	12	1324	603	29	20	96.405434	80
